"site id","cumulative absolute value of curtailment costs for April 2013"
"4186",10853.6
"591",10853.6
"4177",10858
"10846",10858.6
"4185",10858.6
"367",10858.7
"368",10858.7
"4130",10858.7
"4183",10858.7
"4184",10858.7
"4178",10858.8
"39719",10859
"4182",10859
"14796",10859.2
"4181",10859.3
"4179",10859.4
"542",10859.4
"14177",10859.7
"14178",10859.7
"4132",10861
"440",10861
"755",10861
"641",10864.3
"639",10864.8
"640",10864.8
"642",10864.8
"369",10956.9
"39990",10956.9
"40299",10956.9
"4187",10956.9
"476",10956.9
"569",10956.9
"754",10956.9
"760",10956.9
"4133",10959.1
"4188",10978
"4192",10997.5
"13692",11013.3
"4191",11022.7
"4189",11085.3
"4190",11097.8
"4193",12392.2
"4001",12411.1
"11424",12614.3
"1255",12614.3
"13951",12614.3
"14665",12614.3
"331",12614.3
"345",12614.3
"37953",12614.3
"4137",12614.3
"4138",12614.3
"4139",12614.3
"35693",12614.4
"4169",12614.4
"4170",12656.5
"328",12734.6
"4162",12734.6
"4174",12760.1
"37151",12802.9
"4171",12802.9
"4148",12918.6
"4150",12918.6
"429",12918.6
"12551",12918.7
"37143",12918.7
"4141",12918.7
"4144",12918.7
"4151",12918.7
"4152",12918.7
"4153",12918.7
"4154",12918.7
"4155",12918.7
"4157",12918.7
"432",12918.7
"433",12918.7
"434",12918.7
"590",12918.7
"617",12918.7
"636",12918.7
"637",12918.7
"638",12918.7
"757",12918.7
"10512",12918.8
"1107",12918.8
"2426",12918.8
"37150",12918.8
"40341",12918.8
"4136",12918.8
"4142",12918.8
"4145",12918.8
"4156",12918.8
"4158",12918.8
"4159",12918.8
"4172",12918.8
"4173",12918.8
"460",12918.8
"495",12918.8
"621",12918.8
"761",12918.8
"13627",12918.9
"13703",12918.9
"13704",12918.9
"13705",12918.9
"358",12918.9
"39676",12918.9
"40034",12918.9
"40035",12918.9
"4128",12918.9
"4129",12918.9
"4135",12918.9
"4143",12918.9
"4146",12918.9
"4149",12918.9
"4160",12918.9
"4161",12918.9
"4163",12918.9
"4164",12918.9
"4165",12918.9
"4166",12918.9
"4167",12918.9
"4168",12918.9
"4175",12918.9
"4176",12918.9
"463",12918.9
"4831",12918.9
"487",12918.9
"532",12918.9
"40338",15955.8
"40339",15955.8
"1288",16003.2
"40342",16003.2
"4140",16003.2
"10178",16005.9
"15386",16005.9
"15417",16005.9
"332",16005.9
"40260",16005.9
"405",16005.9
"407",16005.9
"4082",16005.9
"4083",16005.9
"446",16005.9
"4631",16005.9
"40343",16006.3
"10037",16006.8
"12163",16006.8
"15464",16006.8
"16295",16006.8
"16296",16006.8
"16612",16006.8
"37175",16006.8
"4077",16006.8
"4078",16006.8
"424",16006.8
"445",16006.8
"475",16006.8
"616",16006.8
"536",16006.9
"4010",16008.8
